time,K1,K2,K3,K4,K5,K6,K7
0.0,1.0,17.320508075688775,22.360679774997898,1.0,1.0,1.0,1.0
0.05,1.0,17.098744541642162,23.008011950317215,1.0,1.1707157211445542,1.1447478748036817,1.0
0.1,1.0,16.69600798299856,24.28044795331826,1.0,1.1393552588125453,1.1397774651691641,1.0
0.15,1.0,16.451493719021418,25.37484320767572,1.0,1.0489504060804729,1.104936753130481,1.0
0.2,1.0,16.43857101001697,26.227826467721023,1.0,1.0389968472447249,1.0857961021825882,1.0
0.25,1.0,16.623169208265637,27.03981570471266,1.0,1.103172891534004,1.0957702109085594,1.0
0.3,1.0,16.939465896631265,28.080661605873548,1.0,1.1403663714995576,1.1369700080012177,1.0
0.35,1.0,17.321923237706667,29.632999898025478,1.0,1.1540599437484134,1.2101433865315467,1.0
0.4,1.0,17.715390705414244,32.000789940217366,1.0,1.1488431591400048,1.3193105625472699,1.0
0.45,1.0,18.074819386100543,35.54878760541643,1.0,1.12791507254919,1.4740458337922933,1.0
0.5,1.0,18.36057368744523,40.75850502073348,1.0,1.0921910842904585,1.6908823946290514,1.0
0.55,1.0,18.532602831843285,48.2945701345174,1.0,1.0403618221855047,1.9942329930994978,1.0
0.6000000000000001,1.0,18.546118116479953,59.07250362166699,1.0,1.0299462830583086,2.4157862003242876,1.0
0.65,1.0,18.353232057360245,67.0820393249937,1.0,1.1186782540433198,2.5,1.0
0.7000000000000001,1.0,17.91965543224632,67.0820393249937,1.0,1.2152577969578875,2.5,1.0
0.75,1.0,17.269210250498627,67.0820393249937,1.0,1.285496054090582,2.5,1.0
0.8,1.0,16.556110770817586,67.0820393249937,1.0,1.2635330834319853,2.5,1.0
0.8500000000000001,1.0,16.111998498875177,67.0820393249937,1.0,1.078595587411208,2.5,1.0
0.9,1.0,16.328217002081686,67.0820393249937,1.0,1.245190646890738,2.5,1.0
0.95,1.0,17.308179077250312,67.0820393249937,1.0,1.5093703441172786,2.5,1.0
1.0,1.0,18.69113120819383,67.0820393249937,1.0,1.555716731950726,2.5,1.0
1.05,1.0,20.0382920366414,67.0820393249937,1.0,1.484672685071084,2.5,1.0
1.1,1.0,21.26575575717254,67.0820393249937,1.0,1.4681895931201183,2.5,1.0
1.15,1.0,22.601213606334724,67.0820393249937,1.0,1.5765747728822253,2.5,1.0
1.2000000000000002,1.0,24.355351931180955,67.0820393249937,1.0,1.8136957025033258,2.4090898561827965,1.0
1.25,1.0,26.807544611498248,67.0820393249937,1.0,2.1784333690960276,1.190567204931201,1.0
1.3,1.0,30.168781932284688,67.0820393249937,1.0,2.5,2.125840055076435,1.0
1.35,1.0,34.49761985384165,67.0820393249937,1.0,2.5,2.5,1.0
1.4,1.0,39.39743985071581,67.0820393249937,1.0,2.5,2.5,1.0
1.4500000000000002,1.0,43.06761281647677,67.0820393249937,1.0,2.5,2.5,1.0
1.5,1.0,40.77750110791623,67.0820393249937,1.0,2.5,2.5,1.0
1.55,1.0,28.64281405009808,67.0820393249937,1.0,2.5,2.5,1.0
1.6,1.0,12.203041098762178,67.0820393249937,1.0,2.5,2.5,1.0
1.65,1.0,-0.03436989976955183,67.0820393249937,1.0,2.5,2.5,1.0
1.7000000000000002,1.0,-5.95344658022482,67.0820393249937,1.0,2.5,2.5,1.0
1.75,1.0,-7.9261451853487355,28.318703917750774,1.0,2.455473935044556,2.5,1.0
1.8,1.0,-8.25759011600824,63.72592375997074,1.0,1.215529500844702,2.5,1.0
1.85,1.0,-7.637368709717432,67.0820393249937,1.0,2.5,2.5,1.0
1.9,1.0,-5.02497274148736,67.0820393249937,1.0,2.5,1.0849798426665767,1.0
1.95,1.0,0.8059149453159715,67.0820393249937,1.0,2.5,2.5,1.0
2.0,1.0,8.86776887424841,67.0820393249937,1.0,2.5,2.5,1.0
2.0500000000000003,1.0,16.768041151436456,52.754407797395125,1.0,2.5,2.5,1.0
2.1,1.0,22.6958615713765,29.231640844136372,1.0,2.5,2.5,1.0
2.15,1.0,25.61678574791447,31.621079830076663,1.0,1.5360435189119386,2.252351392588396,1.0
2.2,1.0,25.726601661049028,38.30371978512919,1.0,1.4467693950097709,1.2419323282769625,1.0
2.25,1.0,23.944062651746123,37.43865084431232,1.0,1.987094975634934,1.4353676239659892,1.0
2.3000000000000003,1.0,21.36104318221264,32.445971182326765,1.0,2.045551092923475,1.6810294874420486,1.0
2.35,1.0,19.055033469992555,26.933053720535135,1.0,1.7412989183179775,1.5516963324491213,1.0
2.4000000000000004,1.0,17.69629828778861,23.384431180253117,1.0,1.3056397130492035,1.2417997902067353,1.0
2.45,1.0,17.309890917381924,22.38948484021773,1.0,1.008173092502797,1.006441008392787,1.0
2.5,1.0,17.320508075688775,22.360679774997898,1.0,1.0,1.0,1.0
